Gender,Months,Growth_rate,BMI_Level,PCT,Quantile,Weight,Protein_Mass,Mineral_Mass,Soft_Lean_Mass,Body_Fat_Mass,Skeletal_Muscle_Mass,BMR,Student_ID,Age,Target_Age,Target_Months,Height,Target_Height,PW,MW,SW,BW,SMW,SS,BS,Ages,Target_Ages,nobs
1,63,0.2842465753424659,2.0,4.0,0.8939281469264471,23.8,3.5,1.5,18.8,5.4,10.1,767.0,528715.0,5.0,5.0,66.0,116.8,150.0,0.1470588235294117,0.0630252100840336,0.7899159663865546,0.226890756302521,0.4243697478991596,0.5372340425531914,0.2872340425531915,5.0,5.0,1
1,66,0.06290849673202614,1.0,4.0,0.9863127618592484,24.8,3.9,1.4,18.9,4.0,9.9,801.0,20768.0,5.0,9.0,112.0,123.0,128.3,0.1688311688311688,0.0562770562770562,0.8008658008658008,0.1731601731601731,0.4155844155844155,0.5238095238095238,0.2162162162162162,5.0,9.0,19
1,79,0.017736486486486402,1.0,2.0,0.408132836913946,20.8,3.5,1.2,16.2,3.0,8.7,758.0,526790.0,6.0,6.0,82.0,118.4,120.5,0.1682692307692307,0.0576923076923076,0.7788461538461537,0.1442307692307692,0.4182692307692307,0.537037037037037,0.1851851851851852,6.0,6.0,5
1,80,0.08363970588235303,1.0,2.0,0.4320471262327301,24.0,3.8,1.3,17.8,5.0,9.1,776.0,23753.0,6.0,8.0,98.0,119.2,129.5,0.1576763485477178,0.0524193548387096,0.7551867219917011,0.2074688796680497,0.3920265780730897,0.5172413793103449,0.2747252747252747,6.0,8.0,523
1,81,0.06800678146253836,1.0,3.0,0.5292462270015089,23.6,3.9,1.3,18.5,4.0,9.6,793.0,24076.0,6.0,8.0,97.0,120.9,130.1,0.1639999999999999,0.0550847457627118,0.7866108786610879,0.1716738197424892,0.4070796460176991,0.5208333333333334,0.2185792349726776,6.0,8.0,13902
1,82,0.07082630691399672,1.0,3.0,0.544514340431941,24.1,3.9,1.3,18.8,4.0,9.8,799.0,28514.0,6.0,8.0,98.0,121.6,130.6,0.1629629629629629,0.0544747081712062,0.7819905213270142,0.175438596491228,0.4048780487804878,0.5215053763440859,0.2242152466367712,6.0,8.0,17975
1,83,0.06808510638297882,1.0,3.0,0.5436170697820667,23.8,4.0,1.3,19.0,4.0,10.0,804.0,23751.0,6.0,8.0,99.0,122.1,131.2,0.1666666666666666,0.0553191489361702,0.7983539094650205,0.1581027667984189,0.41517051315110887,0.5233160621761658,0.1970443349753694,6.0,8.0,20406
1,84,0.0698968944538767,1.0,3.0,0.5358196531166077,24.1,4.0,1.3,19.2,4.0,10.0,808.0,18328.0,7.0,8.0,101.0,122.5,132.3,0.1666666666666666,0.0555555555555555,0.8,0.15625,0.4166666666666666,0.5243243243243243,0.196078431372549,7.0,8.0,19654
1,85,0.05345911949685522,1.0,3.0,0.5754989878933077,24.5,4.1,1.4,19.5,4.0,10.3,815.0,27845.0,7.0,8.0,98.0,123.5,130.5,0.1651785714285714,0.0555555555555555,0.7933884297520661,0.1612903225806451,0.4156862745098039,0.5257731958762887,0.2040816326530612,7.0,8.0,3743
1,86,0.07094080566469507,1.0,3.0,0.5362451747445052,25.0,4.1,1.4,19.5,4.0,10.3,815.0,24144.0,7.0,8.0,101.0,123.5,133.2,0.1641221374045801,0.0551470588235294,0.7878787878787878,0.1673640167364017,0.411764705882353,0.5263157894736842,0.211864406779661,7.0,8.0,32152
