Gender,Months,P10,P20,P30,P40,P50,P60,P70,P80,P90
1,0,47.5,48.3,48.9,49.4,49.9,50.4,50.9,51.5,52.3
1,1,52.2,53.1,53.7,54.2,54.7,55.2,55.7,56.4,57.2
1,2,55.9,56.7,57.4,57.9,58.4,58.9,59.4,60.1,61
1,3,58.8,59.7,60.3,60.9,61.4,61.9,62.5,63.2,64
1,4,61.2,62.1,62.8,63.4,63.9,64.4,65,65.7,66.6
1,5,63.2,64.1,64.8,65.4,65.9,66.4,67,67.7,68.6
1,6,64.9,65.8,66.5,67.1,67.6,68.1,68.7,69.5,70.4
1,7,66.4,67.4,68,68.6,69.2,69.7,70.3,71.1,71.9
1,8,67.8,68.7,69.4,70,70.6,71.2,71.8,72.5,73.4
1,9,69.1,70.1,70.8,71.4,72,72.6,73.2,73.9,74.8
1,10,70.4,71.4,72.1,72.7,73.3,73.9,74.5,75.2,76.2
1,11,71.6,72.6,73.3,73.9,74.5,75.1,75.7,76.5,77.5
1,12,72.7,73.7,74.5,75.1,75.7,76.3,77,77.7,78.8
1,13,73.8,74.9,75.6,76.3,76.9,77.5,78.2,79,80
1,14,74.9,75.9,76.7,77.4,78,78.6,79.3,80.1,81.2
1,15,75.9,77,77.8,78.5,79.1,79.7,80.4,81.3,82.4
1,16,76.9,78,78.8,79.5,80.2,80.9,81.6,82.4,83.5
1,17,77.9,79,79.8,80.5,81.2,81.9,82.6,83.5,84.6
1,18,78.8,80,80.9,81.6,82.3,83,83.7,84.6,85.7
1,19,79.7,80.9,81.8,82.5,83.2,83.9,84.7,85.6,86.8
1,20,80.6,81.8,82.7,83.5,84.2,84.9,85.7,86.6,87.8
1,21,81.5,82.7,83.6,84.4,85.1,85.8,86.6,87.5,88.8
1,22,82.3,83.5,84.5,85.3,86,86.7,87.6,88.5,89.8
1,23,83.1,84.4,85.4,86.1,86.9,87.7,88.5,89.4,90.8
1,24,83.2,84.5,85.5,86.3,87.1,87.9,88.7,89.7,91
1,25,84,85.4,86.3,87.2,88,88.8,89.6,90.7,92
1,26,84.7,86.1,87.1,88,88.8,89.6,90.5,91.5,92.9
1,27,85.5,86.9,87.9,88.8,89.6,90.4,91.3,92.4,93.8
1,28,86.2,87.6,88.7,89.6,90.4,91.2,92.1,93.2,94.6
1,29,86.9,88.4,89.4,90.3,91.2,92,92.9,94.1,95.5
1,30,87.6,89,90.1,91,91.9,92.8,93.7,94.8,96.3
1,31,88.2,89.8,90.9,91.8,92.7,93.6,94.5,95.6,97.1
1,32,88.9,90.4,91.6,92.5,93.4,94.3,95.2,96.4,97.9
1,33,89.5,91.1,92.2,93.2,94.1,95,96,97.1,98.6
1,34,90.1,91.7,92.9,93.9,94.8,95.7,96.7,97.9,99.4
1,35,90.7,92.3,93.5,94.5,95.4,96.3,97.3,98.5,100.1
1,36,91.8,93.6,94.6,95.6,96.5,97.6,98.8,100.2,101.8
1,37,92.3,94.1,95.1,96.1,97,98.1,99.3,100.8,102.3
1,38,92.8,94.6,95.7,96.6,97.6,98.7,99.9,101.3,102.9
1,39,93.3,95.1,96.2,97.1,98.1,99.2,100.4,101.8,103.5
1,40,93.8,95.7,96.8,97.7,98.7,99.8,101,102.4,104
1,41,94.3,96.2,97.3,98.2,99.2,100.3,101.5,102.9,104.6
1,42,94.9,96.7,97.8,98.8,99.8,100.9,102.1,103.5,105.1
1,43,95.4,97.2,98.3,99.3,100.3,101.4,102.6,104,105.7
1,44,95.9,97.8,98.9,99.9,100.9,102,103.2,104.6,106.3
1,45,96.4,98.3,99.4,100.4,101.4,102.5,103.7,105.1,106.8
1,46,96.9,98.8,100,101,102,103.1,104.3,105.7,107.4
1,47,97.4,99.3,100.5,101.5,102.5,103.6,104.8,106.2,108
1,48,97.9,99.8,101,102.1,103.1,104.2,105.4,106.8,108.5
1,49,98.5,100.3,101.5,102.6,103.6,104.7,105.9,107.3,109.1
1,50,99,100.9,102.1,103.2,104.2,105.3,106.5,107.9,109.6
1,51,99.5,101.4,102.6,103.7,104.7,105.8,107,108.4,110.2
1,52,100,101.9,103.2,104.2,105.3,106.4,107.6,109,110.8
1,53,100.5,102.4,103.6,104.8,105.8,106.9,108.1,109.5,111.3
1,54,101,102.9,104.1,105.3,106.3,107.4,108.6,110.1,111.9
1,55,101.5,103.5,104.7,105.8,106.9,108,109.2,110.7,112.5
1,56,102,103.9,105.2,106.3,107.4,108.5,109.7,111.2,113
1,57,102.6,104.5,105.8,106.9,108,109.1,110.3,111.8,113.6
1,58,103.1,105,106.3,107.4,108.5,109.6,110.9,112.3,114.1
1,59,103.6,105.6,106.9,108,109.1,110.2,111.4,112.9,114.7
1,60,104.1,106,107.4,108.5,109.6,110.7,112,113.4,115.3
1,61,104.6,106.5,107.8,109,110.1,111.2,112.5,113.9,115.8
1,62,105.1,107.1,108.4,109.6,110.7,111.8,113.1,114.5,116.4
